"round","seed.1","name.1","link.1","games.1","win_pct.1","srs.1","sos.1","win_pct_home.1","win_pct_away.1","win_pct_conf.1","pts_pg.1","opp_pts_pg.1","mp.1","fg_pg.1","fg_pct.1","fg3_pg.1","fg3_pct.1","ft_pg.1","ft_pct.1","orb_pg.1","trb_pg.1","ast_pg.1","stl_pg.1","blk_pg.1","tov_pg.1","pf_pg.1","seed.2","name.2","link.2","games.2","win_pct.2","srs.2","sos.2","win_pct_home.2","win_pct_away.2","win_pct_conf.2","pts_pg.2","opp_pts_pg.2","mp.2","fg_pg.2","fg_pct.2","fg3_pg.2","fg3_pct.2","ft_pg.2","ft_pct.2","orb_pg.2","trb_pg.2","ast_pg.2","stl_pg.2","blk_pg.2","tov_pg.2","pf_pg.2"
1,1,"Michigan","/cbb/schools/michigan/2021.html",24,0.833,23.37,12.5,0.928571428571429,0.75,0.823529411764706,76.25,65.375,965,27.8333333333333,0.483,7.54166666666667,0.387,12.9583333333333,0.778,9.125,37.4583333333333,15.4583333333333,4.41666666666667,4.29166666666667,11.0833333333333,14.7083333333333,NA,"tbd","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,"LSU","/cbb/schools/louisiana-state/2021.html",27,0.667,15.66,8.88,0.846153846153846,0.4,0.647058823529412,82.1111111111111,75.3333333333333,1085,29.037037037037,0.463,8.14814814814815,0.35,15.8888888888889,0.746,11.4814814814815,38.2962962962963,12.2962962962963,8.07407407407407,2.77777777777778,11.7407407407407,17.2962962962963,9,"St. Bonaventure","/cbb/schools/st-bonaventure/2021.html",20,0.8,15.15,5,0.888888888888889,0.571428571428571,0.733333333333333,70.5,60.35,800,26.05,0.449,6.55,0.354,11.85,0.734,11.45,37.25,14.8,6,3.9,11.05,15.25
1,5,"Colorado","/cbb/schools/colorado/2021.html",30,0.733,16.76,6.99,0.916666666666667,0.5,0.7,73.0333333333333,63.2666666666667,1200,25.8,0.454,7.46666666666667,0.367,13.9666666666667,0.822,9.86666666666667,35,13.2333333333333,5.3,2.76666666666667,11.1,16.2333333333333,12,"Georgetown","/cbb/schools/georgetown/2021.html",25,0.52,11.73,11.05,0.538461538461538,0.25,0.4375,71.36,70.68,1005,24.84,0.424,8.32,0.366,13.36,0.754,11.68,40.2,12.84,5.92,3.88,15.32,15.88
1,4,"Florida State","/cbb/schools/florida-state/2021.html",22,0.727,17.98,9.39,0.923076923076923,0.428571428571429,0.733333333333333,78.9090909090909,70.3181818181818,890,28.1818181818182,0.474,8.22727272727273,0.39,14.3181818181818,0.738,11.5909090909091,37.3636363636364,14.6363636363636,7.40909090909091,5.13636363636364,14.3181818181818,18.5,13,"UNC Greensboro","/cbb/schools/north-carolina-greensboro/2021.html",29,0.724,3.88,-2.29,0.7,0.769230769230769,0.722222222222222,73.6206896551724,67.448275862069,1165,27.6896551724138,0.424,7.62068965517241,0.3,10.6206896551724,0.683,12.7586206896552,39.3793103448276,12.2758620689655,7.48275862068965,3.93103448275862,11,18.0689655172414
1,6,"BYU","/cbb/schools/brigham-young/2021.html",26,0.769,14.58,5.86,0.846153846153846,0.777777777777778,0.769230769230769,78.7307692307692,68.4615384615385,1055,28.8846153846154,0.482,8.96153846153846,0.378,12,0.731,9.5,39.3846153846154,16.5769230769231,4.73076923076923,2.80769230769231,13.3076923076923,18,NA,"tbd","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,"Texas","/cbb/schools/texas/2021.html",26,0.731,16.24,9.81,0.615384615384615,0.75,0.647058823529412,75.2307692307692,68.8076923076923,1055,26.3076923076923,0.454,8.65384615384615,0.357,13.9615384615385,0.708,11,38.6538461538462,13.1153846153846,6.53846153846154,3.88461538461538,14.2307692307692,19.8076923076923,14,"Abilene Christian","/cbb/schools/abilene-christian/2021.html",27,0.852,6.1,-8.46,1,0.555555555555556,0.866666666666667,77.6296296296296,60.5185185185185,1080,27.7407407407407,0.46,7.92592592592593,0.353,14.2222222222222,0.673,11.4444444444444,36.2962962962963,18.1851851851852,9.92592592592593,3.11111111111111,13.8518518518519,19.4074074074074
1,7,"UConn","/cbb/schools/connecticut/2021.html",22,0.682,17.13,9.22,0.7,0.666666666666667,0.647058823529412,72.5454545454545,64.6363636363636,885,26.4090909090909,0.439,6.72727272727273,0.336,13,0.731,13.1818181818182,38.1363636363636,13.0454545454545,6.18181818181818,5.27272727272727,11.7272727272727,18.8636363636364,10,"Maryland","/cbb/schools/maryland/2021.html",29,0.552,15.33,12.86,0.647058823529412,0.4,0.45,68.7931034482759,64.9655172413793,1160,24.1034482758621,0.456,8.06896551724138,0.353,12.5172413793103,0.702,6.48275862068965,33.2758620689655,13.2758620689655,5,3.37931034482759,11.1724137931034,14.8620689655172
1,2,"Alabama","/cbb/schools/alabama/2021.html",30,0.8,20.16,10.36,0.923076923076923,0.7,0.888888888888889,79.5666666666667,69.7666666666667,1200,27.8,0.431,10.6666666666667,0.351,13.3,0.72,12.4,40.5,14.2,8.63333333333333,4.36666666666667,14,18.4666666666667,15,"Iona","/cbb/schools/iona/2021.html",17,0.706,-0.87,-7.17,0.666666666666667,0.571428571428571,0.666666666666667,72.2352941176471,65.9411764705882,680,24.8823529411765,0.445,7.47058823529412,0.355,15,0.743,11.1176470588235,37.4705882352941,13.9411764705882,6.82352941176471,3.94117647058824,15.6470588235294,21.7647058823529
1,1,"Illinois","/cbb/schools/illinois/2021.html",29,0.793,24.84,12.67,0.846153846153846,0.75,0.8,81.4137931034483,69.2413793103448,1175,29.3448275862069,0.499,6.79310344827586,0.376,15.9310344827586,0.691,10.7931034482759,40.4137931034483,16.3103448275862,5.72413793103448,2.82758620689655,13.1724137931034,17.9310344827586,16,"Drexel","/cbb/schools/drexel/2021.html",19,0.632,0.23,-4.41,0.6,0.444444444444444,0.444444444444444,71.4736842105263,66.8421052631579,760,26.0526315789474,0.477,7.26315789473684,0.372,12.1052631578947,0.777,8.8421052631579,33.9473684210526,15.1578947368421,4.68421052631579,2.36842105263158,12.8947368421053,15.1578947368421
1,8,"Loyola (IL)","/cbb/schools/loyola-il/2021.html",28,0.857,14.6,-0.09,1,0.727272727272727,0.888888888888889,71.5,55.5357142857143,1130,26.25,0.505,7.17857142857143,0.368,11.8214285714286,0.723,7.17857142857143,32.6428571428571,15.7857142857143,6.92857142857143,2.39285714285714,11.9285714285714,14.25,9,"Georgia Tech","/cbb/schools/georgia-tech/2021.html",25,0.68,14.06,8.54,0.785714285714286,0.444444444444444,0.647058823529412,75.52,70,1025,27.8,0.474,7.56,0.349,12.36,0.727,8.16,30.8,16.04,9.2,3.4,11.12,15.64
