Year,n,Height
1960,248,166.81854838709677
1964,255,167.34117647058824
1968,529,167.49716446124765
1972,546,167.56776556776558
1976,497,168.64788732394365
1980,325,170.0953846153846
1984,449,170.69710467706014
1988,640,171.69375
1992,479,172.51565762004176
1996,630,172.9206349206349
2000,748,172.77272727272728
2004,733,173.39427012278307
2008,823,173.42648845686512
2012,770,174.03246753246754
2016,748,173.82486631016042
