batch,time,absorbance,substrate,inhibitor
SML-15 B7,1.084657669,0.30830428,2,yes
SML-15 B7,1.564120054,0.354249716,2,yes
SML-15 B7,2.04525876,0.393334508,2,yes
SML-15 B7,2.524720669,0.436086714,2,yes
SML-15 B7,3.002506733,0.47510311,2,yes
SML-15 B7,3.480292797,0.510877669,2,yes
SML-15 B7,3.959754944,0.547388554,2,yes
SML-15 B7,4.437540531,0.579570532,2,yes
SML-15 B7,4.915326595,0.610364914,2,yes
SML-15 B7,5.396466255,0.64046371,2,yes
SML-14 B6,0.140821129,0.188245982,1.5,yes
SML-14 B6,0.618606925,0.239755318,1.5,yes
SML-14 B6,1.09639287,0.286386848,1.5,yes
SML-14 B6,1.575855017,0.330810249,1.5,yes
SML-14 B6,2.056993723,0.371403933,1.5,yes
SML-14 B6,2.536456108,0.411093265,1.5,yes
SML-14 B6,3.014241695,0.448185086,1.5,yes
SML-14 B6,3.49202776,0.487173349,1.5,yes
SML-14 B6,3.971489906,0.52117008,1.5,yes
SML-14 B6,4.449276447,0.555378437,1.5,yes
SML-14 B6,4.927062035,0.588620007,1.5,yes
SML-14 B6,5.408200741,0.619927764,1.5,yes
SML-13 B5,0.15255636,0.168103457,1,yes
SML-13 B5,0.630342126,0.213136599,1,yes
SML-13 B5,1.108127832,0.25167498,1,yes
SML-13 B5,1.587590098,0.291176528,1,yes
SML-13 B5,2.068728685,0.326997638,1,yes
SML-13 B5,2.548191309,0.364510566,1,yes
SML-13 B5,3.025977135,0.398138493,1,yes
SML-13 B5,3.503762722,0.433344096,1,yes
SML-13 B5,3.983225346,0.465909243,1,yes
SML-13 B5,4.46101141,0.500316978,1,yes
SML-13 B5,4.938796997,0.528969824,1,yes
SML-13 B5,5.419935703,0.561547697,0.5,yes
SML-12 B4,0.164291382,0.120712481,0.5,yes
SML-12 B4,0.642077148,0.157702848,0.5,yes
SML-12 B4,1.119863033,0.186473668,0.5,yes
SML-12 B4,1.599325299,0.217112884,0.5,yes
SML-12 B4,2.080464125,0.247095823,0.5,yes
SML-12 B4,2.559926033,0.277255476,0.5,yes
SML-12 B4,3.037712097,0.307437688,0.5,yes
SML-12 B4,3.515497923,0.336827099,0.5,yes
SML-12 B4,3.994960308,0.365141332,0.5,yes
SML-12 B4,4.472746372,0.394246906,0.5,yes
SML-12 B4,4.95053196,0.4222835,0.5,yes
SML-12 B4,5.431670666,0.450205535,0.5,yes
SML-11 B3,0.176026493,0.089369901,0.3,yes
SML-11 B3,0.65381223,0.111087009,0.3,yes
SML-11 B3,1.131598115,0.136669606,0.3,yes
SML-11 B3,1.6110605,0.158393264,0.3,yes
SML-11 B3,2.092198849,0.182430372,0.3,yes
SML-11 B3,2.571661472,0.204860821,0.3,yes
SML-11 B3,3.049447298,0.227187648,0.3,yes
SML-11 B3,3.527233124,0.2479987,0.3,yes
SML-11 B3,4.006695747,0.270924807,0.3,yes
SML-11 B3,4.484481335,0.291726053,0.3,yes
