Year,n,Height
1960,375,178.92
1964,439,179.2984054669704
1968,693,179.85569985569987
1972,662,181.30664652567975
1976,326,182.03067484662577
1980,422,182.93364928909952
1984,740,183.1054054054054
1988,942,184.1411889596603
1992,658,185.9437689969605
1996,647,187.1839258114374
2000,970,186.63505154639176
2004,879,186.45847554038681
2008,903,186.7109634551495
2012,752,187.0345744680851
2016,787,187.3443456162643
