STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN,DAY
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-02-28,0,17,31,2,59
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-01,0,17,32,1,60
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-02,0,20,36,8,61
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-03,0,35,42,32,62
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-04,0.03,38,40,36,63
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-05,0.87,35,37,28,64
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-06,0,26,28,3,65
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-07,0,10,21,-2,66
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-08,0,14,24,1,67
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-09,0,17,29,4,68
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-10,0,29,35,27,69
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-11,0,31,32,16,70
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-12,0,21,32,6,71
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-13,0,18,32,4,72
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-14,0,27,34,16,73
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-15,0,22,36,8,74
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-16,0,26,39,13,75
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-17,0,22,37,7,76
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-18,0,33,38,31,77
